Date,Gold_USD,USD_INR,Gold_INR,Gold_INR_per_gram
2010-11-11,137.66000366210938,44.2599983215332,6092.8315310272155,195.8889363263689
2010-11-12,133.69000244140625,44.2400016784668,5914.445932402043,190.1537104313676
2010-11-15,132.4199981689453,44.77799987792969,5929.502661844483,190.6377951627464
2010-11-16,130.97000122070312,45.11000061035156,5908.056835003663,189.94829633332785
2010-11-17,130.3800048828125,45.189998626708984,5891.872241604608,189.4279499607635
2010-11-18,132.08999633789062,45.108001708984375,5958.31578054931,191.56415774910573
2010-11-19,132.1999969482422,45.150001525878906,5968.8300639343215,191.9021995574235
2010-11-22,133.47999572753906,45.26300048828125,6041.70511179138,194.24518500462582
2010-11-23,134.41000366210938,45.29999923706055,6088.77306334686,195.7584536578475
2010-11-24,134.17999267578125,45.540000915527344,6110.55698930053,196.4588226180504
2010-11-26,133.11000061035156,45.55799865722656,6064.225229069823,194.96922304788282
2010-11-29,133.50999450683594,45.709999084472656,6102.74172667542,196.20755627744208
2010-11-30,135.4199981689453,45.79999923706055,6202.235812820436,199.40636304018633
2010-12-01,135.3800048828125,45.77000045776367,6196.342885458376,199.21690116734052
2010-12-02,135.1999969482422,45.22999954223633,6115.095800079347,196.60474866427722
2010-12-03,138.07000732421875,45.130001068115234,6231.09957801667,200.33435394784092
2010-12-06,139.11000061035156,44.91299819946289,6247.847206940001,200.87280231935316
2010-12-07,136.5,44.810001373291016,6116.565187454224,196.65199053014047
2010-12-08,134.7899932861328,44.5,5998.15470123291,192.84500783618918
2010-12-09,135.3699951171875,45.0,6091.6497802734375,195.85094218571663
2010-12-10,135.41000366210938,45.04999923706055,6100.220561668393,196.1264990007039
2010-12-13,136.0500030517578,44.95000076293945,6115.447740974429,196.6160638183622
2010-12-14,136.17999267578125,44.90999984741211,6115.843450289918,196.62878615878978
2010-12-15,134.6999969482422,44.90999984741211,6049.376842391968,194.49183668693132
2010-12-16,133.80999755859375,45.25,6054.902389526367,194.66948701999348
2010-12-17,134.1999969482422,45.25,6072.549861907959,195.23686600890443
2010-12-20,135.11000061035156,45.167999267578125,6102.648408610839,196.20455603423537
2010-12-21,135.32000732421875,45.2599983215332,6124.583304364001,196.9097787825808
2010-12-22,135.0500030517578,45.18000030517578,6101.559179092408,196.16953651815416
2010-12-23,134.66000366210938,44.95000076293945,6052.967267349246,194.60727144370395
2010-12-27,135.02000427246094,45.0099983215332,6077.250165676873,195.3879841714557
2010-12-28,137.22000122070312,45.099998474121094,6188.621845672606,198.96866415910125
2010-12-29,137.7100067138672,44.95000076293945,6190.064906852727,199.0150596187801
2010-12-30,137.02999877929688,44.91999816894531,6155.387294256594,197.9001493162054
2010-12-31,138.72000122070312,44.810001373291016,6216.043445202638,199.8502883984966
2011-01-03,138.0,44.81800079345703,6184.88410949707,198.84849324021638
2011-01-04,134.75,44.61000061035156,6011.197582244873,193.26434588534644
2011-01-05,134.3699951171875,44.900001525878906,6033.21298579406,193.97215701750798
2011-01-06,133.8300018310547,45.209999084472656,6050.454260256956,194.52647644981934
2011-01-07,133.5800018310547,45.18000030517578,6035.144523492432,194.03425735021563
2011-01-10,134.1199951171875,45.358001708984375,6083.414967734367,195.58618701221297
2011-01-11,134.91000366210938,45.310001373291016,6112.772451200872,196.53005131901142
2011-01-12,135.4600067138672,45.097999572753906,6108.975324907224,196.40797096491468
2011-01-13,134.0500030517578,44.90999984741211,6020.185616600036,193.5533176845061
2011-01-14,132.69000244140625,44.959999084472656,5965.7423882842995,191.80292855415948
2011-01-18,133.42999267578125,45.439998626708984,6063.05868394929,194.93171777932676
2011-01-19,133.72000122070312,45.31999969482422,6060.19041451416,194.8395008444117
2011-01-20,131.1999969482422,45.29999923706055,5943.359761657717,191.08331093470886
2011-01-21,131.02999877929688,45.77799987792969,5998.291268123779,192.84939856041214
2011-01-24,130.36000061035156,45.5880012512207,5942.851870933839,191.0669818809407
2011-01-25,130.10000610351562,45.45000076293945,5913.045376663213,190.1086815523402
2011-01-26,131.16000366210938,45.61000061035156,5982.207847082522,192.33230495225686
2011-01-27,127.93000030517578,45.45000076293945,5814.418611473084,186.9377597850108
2011-01-28,130.27999877929688,45.6879997253418,5952.232548446045,191.36857744131834
2011-01-31,129.8699951171875,45.8380012512207,5952.980998677667,191.39264065708576
2011-02-01,130.8000030517578,45.79999923706055,5990.640039978025,192.6034060468444
2011-02-02,130.4499969482422,45.40999984741211,5923.734341514588,190.45233949602417
2011-02-03,132.1999969482422,45.45000076293945,6008.489962158201,193.17729394306753
2011-02-04,131.66000366210938,45.560001373291016,5998.429947653203,192.85385720749122
2011-02-07,131.67999267578125,45.608001708984375,6005.661330996081,193.08635140727188
2011-02-08,133.13999938964844,45.310001373291016,6032.573555184936,193.9515988613801
2011-02-09,133.07000732421875,45.150001525878906,6008.111033737194,193.16511112052322
2011-02-10,132.85000610351562,45.349998474121094,6024.747574081412,193.69998791394573
2011-02-11,132.32000732421875,45.630001068115234,6037.762075537117,194.11841353986262
2011-02-14,132.9499969482422,45.608001708984375,6063.583688024897,194.94859703971892
2011-02-15,133.97000122070312,45.349998474121094,6075.539350936888,195.33298024135186
